,libaio1,libaio2,libaio4,libaio8,sync1,sync2,sync4,sync8
seq-write,472757,846991,819200,852500,665340,868026,855282,887120
rand-write,429744,764268,769879,763155,568642,783689,782519,795581
seq-read,476625,897753,884128,888623,699983,1057075,1036186,1034138
rand-read,430449,784862,799219,799219,582542,907072,914987,949797
