,fio_ram1.ods,fio_ram_libaio1,fio_ram_libaio2,fio_ram_libaio4,fio_ram_libaio8,fio_ram_sync1,fio_ram_sync2,fio_ram_sync4,fio_ram_sync8,test.csv
seq-write,472757,846991,819200,852500,665340,868026,855282,887120
rand-write,429744,764268,769879,763155,568642,783689,782519,795581
seq-read,476625,897753,884128,888623,699983,1057075,1036186,1034138
rand-read,430449,784862,799219,799219,582542,907072,914987,949797
