,libaio1,libaio2,libaio4,libaio8,sync1,sync2,sync4,sync8
seq-write,226376,428819,393069,392826,76437,96625,101135,94076
rand-write,163329,304877,280704,287147,58691,115941,128596,126578
seq-read,324235,508030,482862,504152,426250,560136,534442,512000
rand-read,292898,452068,442285,441765,365612,492289,471058,474039
