,libaio1,libaio2,libaio4,libaio8,sync1,sync2,sync4,sync8
seq-write,176825,234930,253403,315811,77374,90223,87746,89331
rand-write,127781,238233,247098,285904,58836,83832,92353,120970
seq-read,323036,508522,486432,490577,425904,554802,504608,506069
rand-read,294875,450518,432828,443620,364088,488163,463561,468114
