,libaio1,libaio2,libaio4,libaio8,sync1,sync2,sync4,sync8
seq-write,178876,264237,320340,342196,77431,85962,91803,93907
rand-write,132429,217157,215704,270395,58455,84453,105596,100534
seq-read,321846,512992,487784,489214,428339,556569,516539,508523
rand-read,291919,454808,436056,433430,368697,490906,466448,462743
